episode_number,season,episode_in_season,title,directed_by,written_by,air_date,us_viewers_in_millions
153,7,7,"""The One with Ross's Library Book""",David Schwimmer,Scott Silveri,"November 16, 2000",23.73
154,7,8,"""The One Where Chandler Doesn't Like Dogs""",Kevin S. Bright,Patty Lin,"November 23, 2000",16.57
155,7,9,"""The One with All the Candy""",David Schwimmer,Wil Calhoun,"December 7, 2000",21.08
156,7,10,"""The One with the Holiday Armadillo""",Gary Halvorson,Gregory S. Malins,"December 14, 2000",23.26
157,7,11,"""The One with All the Cheesecakes""",Gary Halvorson,Shana Goldberg-Meehan,"January 4, 2001",24.37
158,7,12,"""The One Where They're Up All Night""",Kevin S. Bright,Zachary Rosenblatt,"January 11, 2001",22.86
159,7,13,"""The One Where Rosita Dies""",Stephen Prime,Story by : Ellen Plummer & Sherry BilsingTeleplay by : Brian Buckner & Sebastian Jones,"February 1, 2001",22.24
160,7,14,"""The One Where They All Turn Thirty""",Ben Weiss,Story by : Vanessa McCarthyTeleplay by : Ellen Plummer & Sherry Bilsing,"February 8, 2001",22.40
161,7,15,"""The One with Joey's New Brain""",Kevin S. Bright,Story by : Sherry Bilsing & Ellen PlummerTeleplay by : Andrew Reich & Ted Cohen,"February 15, 2001",21.75
162,7,16,"""The One with the Truth About London""",David Schwimmer,Story by : Brian Buckner & Sebastian JonesTeleplay by : Zachary Rosenblatt,"February 22, 2001",21.22
163,7,17,"""The One with the Cheap Wedding Dress""",Kevin S. Bright,Story by : Brian Buckner & Sebastian JonesTeleplay by : Andrew Reich & Ted Cohen,"March 15, 2001",20.84
164,7,18,"""The One with Joey's Award""",Gary Halvorson,Story by : Sherry Bilsing & Ellen PlummerTeleplay by : Brian Boyle,"March 29, 2001",17.81
165,7,19,"""The One with Ross and Monica's Cousin""",Gary Halvorson,Andrew Reich & Ted Cohen,"April 19, 2001",16.55
166,7,20,"""The One with Rachel's Big Kiss""",Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,"April 26, 2001",16.30
167,7,21,"""The One with the Vows""",Gary Halvorson,Doty Abrams,"May 3, 2001",15.65
168,7,22,"""The One with Chandler's Dad""",Kevin S. Bright & Gary Halvorson,Story by : Gregory S. MalinsTeleplay by : Brian Buckner & Sebastian Jones,"May 10, 2001",17.23
167,7,23,"""The One with Monica and Chandler's Wedding” (part 1)",Kevin S. Bright,Gregory S. MalinsMarta Kauffman & David Crane,"May 17, 2001",30.05
170,7,24,"""The One with Monica and Chandler's Wedding” (part 2)",Kevin S. Bright,Gregory S. MalinsMarta Kauffman & David Crane,"May 17, 2001",30.05
171,8,1,"""The One After 'I Do'""",Kevin S. Bright,David Crane & Marta Kauffman,"September 27, 2001",31.70
172,8,2,"""The One with the Red Sweater""",David Schwimmer,Dana Klein Borkow,"October 4, 2001",30.04
173,8,3,"""The One Where Rachel Tells...""",Sheldon Epps,Sherry Bilsing & Ellen Plummer,"October 11, 2001",29.20
174,8,4,"""The One with the Videotape""",Kevin S. Bright,Scott Silveri,"October 18, 2001",25.58
175,8,5,"""The One with Rachel's Date""",Gary Halvorson,Brian Buckner & Sebastian Jones,"October 25, 2001",25.64
176,8,6,"""The One with the Halloween Party""",Gary Halvorson,Mark Kunerth,"November 1, 2001",26.96
177,8,7,"""The One with the Stain""",Kevin S. Bright,R. Lee Fleming Jr.,"November 8, 2001",24.24
178,8,8,"""The One with the Stripper""",David Schwimmer,Andrew Reich & Ted Cohen,"November 15, 2001",26.54
179,8,9,"""The One with the Rumor""",Gary Halvorson,Shana Goldberg-Meehan,"November 22, 2001",24.24
180,8,10,"""The One with Monica's Boots""",Kevin S. Bright,Story by : Robert CarlockTeleplay by : Brian Buckner & Sebastian Jones,"December 6, 2001",22.44
181,8,11,"""The One with Ross's Step Forward""""The One with The Creepy Holiday Card""",Gary Halvorson,Robert Carlock,"December 13, 2001",23.85
182,8,12,"""The One Where Joey Dates Rachel""",David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,"January 10, 2002",25.53
183,8,13,"""The One Where Chandler Takes a Bath""",Ben Weiss,Vanessa McCarthy,"January 17, 2002",29.24
184,8,14,"""The One with the Secret Closet""",Kevin S. Bright,Brian Buckner & Sebastian Jones,"January 31, 2002",28.64
185,8,15,"""The One with the Birthing Video""",Kevin S. Bright,Dana Klein Borkow,"February 7, 2002",28.64
186,8,16,"""The One Where Joey Tells Rachel""",Ben Weiss,Andrew Reich & Ted Cohen,"February 28, 2002",27.52
187,8,17,"""The One with the Tea Leaves""",Gary Halvorson,Story by : R. Lee Fleming Jr.Teleplay by : Steven Rosenhaus,"March 7, 2002",26.30
188,8,18,"""The One in Massapequa""""The One with the Zesty Guy""",Gary Halvorson,Story by : Peter TibbalsTeleplay by : Mark Kunerth,"March 28, 2002",22.05
