episode_number,season,episode_in_season,title,directed_by,written_by,air_date,us_viewers_in_millions
89,4,16,"""The One with the Fake Party""",Michael Lembeck,Story by : Alicia Sky VarinaitisTeleplay by : Scott Silveri & Shana Goldberg-Meehan,"March 19, 1998",23.1
90,4,17,"""The One with the Free Porn""",Michael Lembeck,Story by : Mark KunerthTeleplay by : Richard Goodman,"March 26, 1998",23.2
91,4,18,"""The One with Rachel's New Dress""",Gail Mancuso,Story by : Andrew Reich & Ted CohenTeleplay by : Jill Condon & Amy Toomin,"April 2, 1998",21.7
92,4,19,"""The One with All the Haste""",Kevin S. Bright,Scott Silveri & Wil Calhoun,"April 9, 1998",21.8
93,4,20,"""The One with All the Wedding Dresses""",Gail Mancuso,Story by : Adam ChaseTeleplay by : Gregory S. Malins & Michael Curtis,"April 16, 1998",21.9
94,4,21,"""The One with the Invitation""",Peter Bonerz,Seth Kurland,"April 23, 1998",21.5
95,4,22,"""The One with the Worst Best Man Ever""",Peter Bonerz,Story by : Seth KurlandTeleplay by : Gregory S. Malins & Michael Curtis,"April 30, 1998",23.2
96,4,23,"""The One with Ross' Wedding” (part 1)",Kevin S. Bright,Michael BorkowStory by : Jill Condon & Amy ToominTeleplay by : Shana Goldberg-Meehan & Scott Silveri,"May 7, 1998",31.6
97,4,24,"""The One with Ross' Wedding” (part 2)",Kevin S. Bright,Michael BorkowStory by : Jill Condon & Amy ToominTeleplay by : Shana Goldberg-Meehan & Scott Silveri,"May 7, 1998",31.6
98,5,1,"""The One After Ross Says Rachel""",Kevin S. Bright,Seth Kurland,"September 24, 1998",31.1
99,5,2,"""The One with All the Kissing""",Gary Halvorson,Wil Calhoun,"October 1, 1998",25.4
100,5,3,"""The One Hundredth""""The One with the Triplets""",Kevin S. Bright,David Crane & Marta Kauffman,"October 8, 1998",26.8
101,5,4,"""The One Where Phoebe Hates PBS""",Shelley Jensen,Michael Curtis,"October 15, 1998",24.1
102,5,5,"""The One with the Kips""",Dana DeValley Piazza,Scott Silveri,"October 29, 1998",25.9
103,5,6,"""The One with the Yeti""",Gary Halvorson,Alexa Junge,"November 5, 1998",25.0
104,5,7,"""The One Where Ross Moves In""",Gary Halvorson,Gigi McCreery & Perry Rein,"November 12, 1998",24.4
