key,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst
BUA,Buka Airport,Buka Island,Papua New Guinea,BUA,AYBK,-5.4223198890686035,154.67300415039062,11,10,U
CMU,Chimbu Airport,Kundiawa,Papua New Guinea,CMU,AYCH,-6.024290084838867,144.9709930419922,4974,10,U
DAU,Daru Airport,Daru,Papua New Guinea,DAU,AYDU,-9.08675956726,143.207992554,20,10,U
GUR,Gurney Airport,Gurney,Papua New Guinea,GUR,AYGN,-10.3114995956,150.333999634,88,10,U
PNP,Girua Airport,Girua,Papua New Guinea,PNP,AYGR,-8.80453968048,148.309005737,311,10,U
HKN,Kimbe Airport,Hoskins,Papua New Guinea,HKN,AYHK,-5.462170124053955,150.40499877929688,66,10,U
UNG,Kiunga Airport,Kiunga,Papua New Guinea,UNG,AYKI,-6.1257100105285645,141.28199768066406,88,10,U
KRI,Kikori Airport,Kikori,Papua New Guinea,KRI,AYKK,-7.424379825592041,144.2500762939453,50,10,U
KMA,Kerema Airport,Kerema,Papua New Guinea,KMA,AYKM,-7.96361017227,145.770996094,10,10,U
KVG,Kavieng Airport,Kavieng,Papua New Guinea,KVG,AYKV,-2.57940006256,150.807998657,7,10,U
MDU,Mendi Airport,Mendi,Papua New Guinea,MDU,AYMN,-6.14774,143.656998,5680,10,U
MAS,Momote Airport,Momote,Papua New Guinea,MAS,AYMO,-2.06189,147.423996,12,10,U
MXH,Moro Airport,Moro,Papua New Guinea,MXH,AYMR,-6.36332988739,143.238006592,2740,10,U
MIS,Misima Island Airport,Misima Island,Papua New Guinea,MIS,AYMS,-10.689200401299999,152.837997437,26,10,U
TIZ,Tari Airport,Tari,Papua New Guinea,TIZ,AYTA,-5.84499979019,142.947998047,5500,10,U
TBG,Tabubil Airport,Tabubil,Papua New Guinea,TBG,AYTB,-5.2786102294921875,141.2259979248047,1570,10,U
RAB,Tokua Airport,Tokua,Papua New Guinea,RAB,AYTK,-4.34045982361,152.380004883,32,10,U
VAI,Vanimo Airport,Vanimo,Papua New Guinea,VAI,AYVN,-2.6926,141.3028,10,10,U
WBM,Wapenamanda Airport,Wapenamanda,Papua New Guinea,WBM,AYWD,-5.6433000564575195,143.89500427246094,5889,10,U
LLU,Alluitsup Paa Heliport,Alluitsup Paa,Greenland,LLU,BGAP,60.46445,-45.56917,54,-3,E
CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland,CNP,BGCO,70.7431030273,-22.6504993439,45,-1,E
JFR,Paamiut Heliport,Paamiut,Greenland,JFR,BGFH,61.9921989441,-49.6624984741,63,-3,E
JGO,Qeqertarsuaq Heliport,Qeqertarsuaq Airport,Greenland,JGO,BGGN,69.251181993,-53.5148763657,9,-3,E
JJU,Qaqortoq Heliport,Qaqortoq,Greenland,JJU,BGJH,60.715684155299996,-46.0299186409,53,-3,E
JSU,Maniitsoq Airport,Maniitsoq,Greenland,JSU,BGMQ,65.4124984741,-52.9393997192,91,-3,E
JNN,Nanortalik Heliport,Nanortalik,Greenland,JNN,BGNN,60.141883975899994,-45.232976675,17,-3,E
JNS,Narsaq Heliport,Narsaq,Greenland,JNS,BGNS,60.9172827256,-46.059923172,83,-3,E
NAQ,Qaanaaq Airport,Qaanaaq,Greenland,NAQ,BGQQ,77.4886016846,-69.3887023926,51,-4,E
JHS,Sisimiut Airport,Sisimiut,Greenland,JHS,BGSS,66.9513015747,-53.7293014526,33,-3,E
JUV,Upernavik Airport,Upernavik,Greenland,JUV,BGUK,72.7901992798,-56.1305999756,414,-3,E
JQA,Qaarsut Airport,Uummannaq,Greenland,JQA,BGUQ,70.7341995239,-52.6962013245,289,-3,E
GRY,Grímsey Airport,Grímsey,Iceland,GRY,BIGR,66.5458,-18.0173,66,0,N
THO,Thorshofn Airport,Thorshofn,Iceland,THO,BITN,66.21849822998047,-15.335599899291992,65,0,N
VPN,Vopnafjörður Airport,Vopnafjörður,Iceland,VPN,BIVO,65.72059631347656,-14.850600242614746,16,0,N
YWS,Whistler/Green Lake Water Aerodrome,Whistler,Canada,YWS,CAE5,50.1436004639,-122.948997498,2100,-8,A
YAA,Anahim Lake Airport,Anahim Lake,Canada,YAA,CAJ4,52.45249938964844,-125.3030014038086,3635,-8,A
YWM,Williams Harbour Airport,Williams Harbour,Canada,YWM,CCA6,52.566898345947266,-55.784698486328125,70,-3.5,A
YFX,St. Lewis (Fox Harbour) Airport,St. Lewis,Canada,YFX,CCK4,52.372798919677734,-55.67390060424805,74,-3.5,A
YHA,Port Hope Simpson Airport,Port Hope Simpson,Canada,YHA,CCP4,52.528099060058594,-56.28609848022461,347,-3.5,A
YRG,Rigolet Airport,Rigolet,Canada,YRG,CCZ2,54.1796989440918,-58.45750045776367,180,-4,A
YCK,Colville Lake Airport,Colville Lake,Canada,YCK,CEB3,67.0392,-126.08,850,-7,A
YLE,Whatì Airport,Whatì,Canada,YLE,CEM3,63.13169860839844,-117.24600219726562,882,-7,A
SUR,Summer Beaver Airport,Summer Beaver,Canada,SUR,CJV7,52.70859909057617,-88.54190063476562,832,-5,A
